x,y,z
58.08036546458079,225.69904242013214,a
238.86735657018107,247.45664533360318,a
156.2182119517779,286.5887823312221,a
262.00436148462643,284.25144485233085,a
185.2431825058747,308.18757148244987,a
180.09569912269114,289.5690882028012,a
254.56718191478356,288.4341276209697,a
283.5874877257717,305.6088287884648,a
133.74999977995202,311.21552649265095,a
429.6608111315931,265.006662249905,a
332.9108956656902,261.581219078956,a
336.778928114184,256.30749793850794,a
16.112922878620367,191.08319105496932,a
231.96795342420876,208.907045997853,a
275.9376364766166,220.1571364694461,a
401.96768776121223,182.0340899372203,a
33.47851678603797,175.72226928798943,a
142.18762234626757,188.44536548057013,a
237.55891927960457,177.0920712527336,a
155.17277634634502,178.87797011965833,a
40.16810779330431,217.43813129082318,a
122.38225362455758,221.4633669299093,a
40.695092324574034,236.8489270263377,a
18.61207027470455,233.5007106638863,a
-0.030331894476404386,269.14078873493594,a
-15.097847303124668,294.6561012097091,a
207.91376264050075,281.50644201510187,a
198.068004720323,284.9762706039305,a
293.51180028919117,290.3473295696251,a
478.71331108506416,291.8059641444165,a
223.26635773268703,289.0456210711663,a
190.4531002907777,258.4609529132884,a
232.5332980782725,226.87705483645962,a
562.240661992336,222.37684730349525,a
249.73477124783284,244.7981161086504,a
301.90591853925275,190.745930902966,a
418.7702053075165,197.08959332488843,a
303.04661029190424,145.34759138379658,a
332.34756956480123,177.4786942676817,a
483.09726487804824,166.47784955202914,a
235.1140999084593,156.30810263878766,a
93.15031463505977,170.58576404504572,a
146.82436052622117,131.9992650834531,a
78.71395188607909,221.0777851604771,a
166.52795638619963,190.78996469064145,a
118.91930849550405,268.577801417513,a
333.74587145235733,235.04653225722507,a
76.95576559274403,331.71825915471214,a
134.64104678879528,286.3274050939877,a
301.7368254772012,307.97179429821256,a
175.49014105687561,263.97841167085903,a
439.01161657784684,303.177290432496,a
573.7523288254936,275.40374949353054,a
583.7742752540312,254.50462050692158,a
319.6851015020939,291.473947765277,a
237.30015971636868,221.44531021435952,a
345.7281520731193,232.57624357412882,a
439.41876803607386,211.8202051655404,a
615.2913363692612,250.61869271569734,a
539.6710751343862,179.0834726031702,a
486.150678632714,192.00066421912877,a
