x,y,z
469.7593545676588,453.5749462453128,a
535.3318190327325,435.22184844984116,a
504.2855261364733,437.76757841503013,a
469.8913980729759,368.3716515632428,a
405.4256216301205,403.14154552279024,a
397.2001298856445,431.8145030021952,a
450.17444386447113,353.0049996391955,a
322.326789371342,325.76581870693434,a
379.25993898137847,356.5626174699577,a
300.24926412324896,312.7040139415135,a
282.8239219153107,325.67904307885397,a
298.9207732937464,309.04817651291677,a
265.7206117087436,282.4292080857882,a
221.013712736612,271.26697310525213,a
242.98068239486904,245.9352398408649,a
165.8870209647585,252.84265858518413,a
157.25578238527729,175.99456541390325,a
182.5766765626396,171.5595083340495,a
109.53316266929613,159.46272730561202,a
111.78609792214417,126.14649939328012,a
137.44565119589828,142.87904455638972,a
64.70285831330945,65.38990763183517,a
125.45880477911614,95.40685382234541,a
84.28963503653972,42.379211390025546,a
112.98195629530704,124.03087732753256,a
180.74378821868248,86.84378852405236,a
171.44310029310438,114.83655791339152,a
145.8709202220041,128.34013502509086,a
189.4135256351003,88.97404112553068,a
267.40416038456897,111.292753629606,a
257.2995576980139,152.7682912330019,a
335.06758569718835,129.357457561917,a
313.41034358966937,183.12312087847613,a
368.9881625887906,152.97791048502643,a
419.6952214573304,243.087397565038,a
449.23284548175087,237.08187853878584,a
467.1326128143497,249.05353721941705,a
549.2311494409224,265.1706587301019,a
542.0016131676679,252.1103295205081,a
620.876289735011,326.1076946752089,a
583.785043243366,341.1286677279708,a
611.7955381565781,351.5188315071752,a
609.5310653106184,364.6552756807805,a
649.9914613515238,385.164978069621,a
645.6620729441113,414.06795307722064,a
672.961236907825,436.45569352839095,a
638.1757461290741,456.7812363975682,a
667.5139975256259,431.10874812194396,a
657.2750157187437,391.0127137837101,a
649.8973632283354,445.1875758157525,a
571.660151296708,431.11907051504767,a
546.2690298881331,434.1572602569683,a
472.0006923090404,418.3265990559103,a
470.4066389800589,372.37752836537584,a
435.1430060869149,312.16624353046484,a
441.0256738459767,375.6399769192354,a
381.1559981495643,324.0230052931534,a
293.05862910814363,272.54485310681724,a
247.68468267532,294.5411718298304,a
265.4794354108895,263.2616547035575,a
211.6764188496189,245.86799175972862,a
208.6331804259819,157.02581880572325,a
136.6750447375782,162.1738485197322,a
162.13775535768843,133.8496362523499,a
147.10132292277999,155.8621718419464,a
255.0589841821323,114.19678159932543,a
208.86798776867474,163.13092143876497,a
211.50729248606757,108.35771426765908,a
270.2960842873734,190.9423981359964,a
344.08117956754364,183.79456183292046,a
